star pmax prot height tau quality
339 30 32.765 0.167 9.468 12.48
339 50 37.384 0.308 26.382 45.66
339 100 40.062 0.123 13.322 5.02
340 1 0.675 0.140 0.022 4.94
340 3 nan -inf nan nan
340 5 nan -inf nan nan
340 10 nan -inf nan nan
340 30 23.404 0.223 30.087 167.97
340 50 48.074 0.442 51.446 87.49
340 100 50.241 0.484 50.035 158.50
341 1 0.123 0.038 0.031 8.15
341 3 nan -inf nan nan
341 5 3.311 0.056 0.249 21.04
341 10 11.528 0.092 0.712 8.53
341 30 19.827 0.143 10.355 221.91
341 50 55.147 0.154 21.275 26.85
341 100 80.737 0.214 41.003 36.19
342 1 0.777 0.139 0.021 4.05
342 3 nan -inf nan nan
342 5 nan -inf nan nan
342 10 nan -inf nan nan
342 30 28.738 0.032 8.008 79.51
342 50 29.965 0.031 11.090 262.82
342 100 nan -inf nan nan
343 1 0.593 0.131 0.023 5.58
343 3 nan -inf nan nan
343 5 5.069 0.081 1.472 41.48
343 10 8.626 0.169 4.193 65.95
343 30 28.657 0.813 51.194 576.88
343 50 29.842 0.853 55.323 1498.76
343 100 29.719 0.549 60.319 317.30
344 1 0.123 0.035 0.027 5.11
344 3 2.494 0.080 0.154 8.32
344 5 4.374 0.069 1.097 51.88
344 10 10.710 0.443 24.019 1085.15
344 30 11.058 0.527 34.558 715.02
344 50 10.670 0.320 23.680 86.32
344 100 89.138 0.170 36.134 17.68
345 1 0.675 0.439 0.267 10.66
345 3 1.145 0.125 0.184 5.28
345 5 1.635 0.034 0.255 0.65
345 10 9.852 0.288 4.835 25.71
345 30 17.496 0.759 20.494 732.24
345 50 17.742 0.604 18.451 297.15
345 100 17.374 0.302 9.883 41.17
346 1 0.838 0.075 0.024 2.23
346 3 3.843 0.089 0.191 4.23
346 5 5.764 0.139 2.249 25.64
346 10 9.893 0.534 9.581 148.31
346 30 10.322 0.381 6.633 39.47
346 50 10.343 0.243 5.286 32.44
346 100 22.422 0.083 3.908 7.40
347 1 0.858 0.243 0.334 39.63
347 3 1.737 0.150 0.655 62.70
347 5 4.354 0.166 1.456 16.30
347 10 10.813 0.484 11.447 117.27
347 30 11.978 0.308 6.389 30.71
347 50 11.446 0.155 2.168 2.64
347 100 85.111 0.238 39.367 37.30
348 1 0.879 0.085 1.855 27.16
348 3 2.984 0.061 0.099 4.41
348 5 nan -inf nan nan
348 10 10.854 0.044 0.504 12.70
348 30 39.265 0.586 149.719 3698.42
348 50 40.430 1.203 169.582 4910.12
348 100 40.798 1.125 103.030 620.13
349 1 0.818 0.120 0.031 3.55
349 3 2.453 0.178 0.952 57.20
349 5 4.497 0.204 1.657 39.70
349 10 8.421 0.191 3.942 56.93
349 30 31.477 0.763 54.583 758.12
349 50 33.256 0.787 49.785 1178.14
349 100 33.010 0.315 19.182 15.51
350 1 0.797 0.123 0.025 3.34
350 3 2.739 0.075 0.134 7.42
350 5 4.313 0.071 1.100 50.50
350 10 12.836 0.332 10.746 194.21
350 30 15.412 0.524 10.685 98.51
350 50 15.616 0.377 9.259 64.41
350 100 16.393 0.188 5.738 28.28
351 1 0.634 0.132 0.022 4.96
351 3 nan -inf nan nan
351 5 nan -inf nan nan
351 10 9.300 0.100 5.407 259.49
351 30 21.135 0.338 14.315 15.52
351 50 37.977 0.634 27.453 32.45
351 100 38.427 0.387 19.039 31.08
352 1 0.736 0.115 0.024 3.96
352 3 2.739 0.097 0.162 6.86
352 5 5.948 0.077 0.317 3.18
352 10 11.324 0.110 0.925 3.66
352 30 33.644 0.696 39.987 96.39
352 50 37.671 1.062 67.058 225.21
352 100 38.631 0.922 84.356 196.29
353 1 0.756 0.077 0.023 2.42
353 3 2.678 0.045 0.126 4.80
353 5 4.619 0.070 0.277 11.01
353 10 9.259 0.052 2.505 45.72
353 30 30.230 1.296 112.741 4795.89
353 50 30.578 1.316 96.019 5069.06
353 100 30.803 1.036 95.211 2186.73
354 1 0.634 0.134 0.022 5.04
354 3 nan -inf nan nan
354 5 4.660 0.066 1.614 60.61
354 10 10.608 0.090 3.063 27.31
354 30 25.407 0.578 25.652 134.27
354 50 26.102 0.559 30.069 112.22
354 100 26.102 0.341 22.487 51.01
355 1 0.654 0.128 0.000 0.03
355 3 nan -inf nan nan
355 5 4.435 0.087 1.817 76.51
355 10 11.385 0.430 9.106 152.42
355 30 24.262 0.946 37.498 374.76
355 50 24.732 0.894 26.093 105.35
355 100 24.977 0.656 23.947 71.31
356 1 0.818 0.236 0.337 37.44
356 3 3.127 0.229 1.125 12.23
356 5 3.536 0.243 1.689 55.05
356 10 8.687 0.274 10.045 31.52
356 30 23.710 0.145 8.811 21.68
356 50 46.010 0.571 49.563 196.35
356 100 48.013 0.350 31.882 28.56
357 1 0.777 0.143 0.035 3.88
357 3 2.473 0.197 0.958 53.66
357 5 4.129 0.229 1.686 73.09
357 10 16.863 0.332 9.814 16.34
357 30 17.149 1.077 44.498 3806.73
357 50 17.169 0.765 34.427 374.37
357 100 16.413 0.329 22.871 43.08
358 1 0.695 0.122 0.002 0.10
358 3 nan -inf nan nan
358 5 nan -inf nan nan
358 10 10.240 0.220 8.641 400.66
358 30 22.525 0.837 28.598 228.36
358 50 22.995 0.788 23.596 131.56
358 100 23.342 0.578 22.624 80.66
359 1 0.572 0.127 0.588 32.25
359 3 2.984 0.040 0.118 5.14
359 5 5.621 0.047 0.242 9.22
359 10 12.080 0.045 21.358 132.41
359 30 23.506 0.288 46.324 1397.98
359 50 23.955 0.295 31.347 454.94
359 100 23.935 0.220 27.762 319.52
360 1 0.777 0.114 0.191 8.84
360 3 2.310 0.146 4.558 78.78
360 5 4.190 0.188 1.639 69.52
360 10 8.626 0.116 3.121 30.55
360 30 20.317 1.024 70.702 3647.63
360 50 20.481 0.741 84.804 767.30
360 100 20.174 0.407 66.655 171.07
361 1 0.818 0.299 0.359 41.62
361 3 2.535 0.326 1.065 44.51
361 5 4.333 0.323 1.793 41.64
361 10 8.462 0.361 3.838 63.41
361 30 33.256 0.396 26.484 60.21
361 50 37.017 0.624 34.460 356.64
361 100 38.468 0.251 17.035 16.50
362 1 0.736 0.132 0.022 4.38
362 3 nan -inf nan nan
362 5 nan -inf nan nan
362 10 8.401 0.085 2.943 129.35
362 30 31.539 0.399 33.341 227.20
362 50 33.235 0.608 32.943 171.08
362 100 33.521 0.327 20.373 25.27
363 1 0.675 0.135 0.138 7.17
363 3 nan -inf nan nan
363 5 3.597 0.040 0.619 46.06
363 10 13.409 0.586 30.440 1660.02
363 30 13.899 1.172 35.233 686.29
363 50 13.920 0.985 26.341 267.79
363 100 13.981 0.388 23.819 176.99
364 1 0.756 0.079 0.023 2.50
364 3 nan -inf nan nan
364 5 5.417 1.052 17.588 4595.30
364 10 5.601 1.216 11.961 2153.74
364 30 5.621 0.696 9.934 1108.00
364 50 5.764 0.148 0.908 12.56
364 100 8.380 0.216 0.896 2.86
365 1 0.777 0.151 0.035 4.15
365 3 2.473 0.210 0.989 58.02
365 5 4.068 0.253 1.674 74.96
365 10 9.607 0.184 4.053 26.31
365 30 14.574 0.034 3.325 0.19
365 50 31.580 0.564 29.859 85.64
365 100 32.009 0.199 8.452 5.56
366 1 0.838 0.145 0.307 16.55
366 3 2.555 0.277 1.040 44.96
366 5 4.374 0.292 1.781 41.53
366 10 7.849 0.169 3.191 35.15
366 30 20.746 0.608 26.598 114.19
366 50 21.850 0.366 25.019 57.69
366 100 19.459 0.207 3.044 2.21
367 1 0.838 0.128 0.035 3.20
367 3 2.759 0.056 0.124 6.98
367 5 nan -inf nan nan
367 10 nan -inf nan nan
367 30 45.172 0.337 3.240 2.41
367 50 42.310 0.635 64.299 348.08
367 100 43.639 0.443 41.060 59.01
368 1 0.143 0.036 0.056 3.26
368 3 2.412 0.129 1.017 64.04
368 5 4.129 0.124 1.588 37.44
368 10 7.338 0.151 3.014 33.41
368 30 22.790 0.536 22.318 320.46
368 50 23.874 0.245 10.973 11.78
368 100 91.305 0.750 174.532 448.91
369 1 0.818 0.089 0.030 2.12
369 3 2.351 0.044 0.100 4.05
369 5 3.802 0.036 0.199 7.96
369 10 9.014 0.123 13.039 671.56
369 30 9.484 0.126 11.048 606.60
369 50 8.871 0.082 1.651 17.91
369 100 76.322 0.183 53.983 241.79
370 1 0.634 0.068 0.030 3.02
370 3 2.310 0.187 1.103 95.84
370 5 5.560 0.208 0.384 2.81
370 10 5.744 0.155 2.195 57.32
370 30 15.003 0.068 3.910 18.94
370 50 41.656 0.211 30.331 141.92
370 100 44.150 0.211 36.188 352.51
371 1 0.797 0.170 0.344 26.76
371 3 3.148 0.207 0.187 2.07
371 5 3.209 0.206 1.467 55.25
371 10 12.468 0.207 7.230 26.74
371 30 25.304 1.115 137.443 865.46
371 50 25.366 1.075 147.188 1291.54
371 100 25.243 0.806 199.717 3570.13
372 1 0.123 0.036 0.031 7.85
372 3 nan -inf nan nan
372 5 nan -inf nan nan
372 10 nan -inf nan nan
372 30 18.314 0.095 9.707 543.20
372 50 36.076 0.101 10.715 36.39
372 100 35.484 0.024 31.835 11.37
373 1 0.838 0.188 0.244 17.08
373 3 2.473 0.165 1.035 39.80
373 5 4.660 0.131 1.535 22.20
373 10 11.119 0.652 16.447 135.79
373 30 22.852 1.257 133.862 893.67
373 50 22.872 1.115 152.049 1398.50
373 100 22.770 0.698 165.465 2685.68
374 1 0.818 0.150 0.021 4.01
374 3 nan -inf nan nan
374 5 nan -inf nan nan
374 10 14.921 0.046 0.674 10.05
374 30 15.330 0.276 34.307 2715.64
374 50 15.044 0.200 36.900 342.91
374 100 13.736 0.094 1.974 6.80
375 1 0.613 0.133 0.022 5.23
375 3 nan -inf nan nan
375 5 nan -inf nan nan
375 10 nan -inf nan nan
375 30 17.680 0.502 16.040 254.00
375 50 18.028 0.396 14.023 117.73
375 100 17.660 0.206 4.904 15.28
376 1 0.736 0.145 0.021 4.52
376 3 nan -inf nan nan
376 5 nan -inf nan nan
376 10 10.731 0.043 0.604 20.40
376 30 10.772 0.048 7.294 680.64
376 50 10.670 0.039 6.637 458.50
376 100 nan -inf nan nan
377 1 0.797 0.096 0.037 2.02
377 3 2.596 0.117 0.803 20.64
377 5 4.599 0.145 1.763 23.51
377 10 9.177 0.573 10.489 273.56
377 30 18.437 0.773 22.221 394.85
377 50 18.641 0.582 18.162 177.17
377 100 18.314 0.288 9.300 32.23
378 1 0.981 0.063 0.025 1.62
378 3 2.494 0.564 4.793 2117.53
378 5 2.575 0.540 3.989 613.73
378 10 2.514 0.318 3.250 116.76
378 30 21.400 0.166 10.470 83.72
378 50 45.336 0.158 8.793 8.05
378 100 46.214 0.099 18.083 21.84
379 1 0.123 0.043 0.031 9.13
379 3 2.759 0.042 0.128 5.06
379 5 5.825 0.072 0.294 8.14
379 10 9.382 0.115 5.475 115.21
379 30 20.787 0.315 34.784 185.31
379 50 20.889 0.082 12.057 2.57
379 100 44.109 0.381 37.105 32.56
380 1 0.695 0.129 0.306 12.98
380 3 2.412 0.052 0.143 6.31
380 5 3.373 0.061 1.354 95.33
380 10 9.055 0.085 3.017 39.65
380 30 17.701 0.276 13.605 354.41
380 50 17.660 0.203 10.273 110.03
380 100 17.067 0.105 3.339 7.65
381 1 0.123 0.032 0.029 5.70
381 3 3.291 0.067 0.931 19.68
381 5 6.295 0.461 6.048 185.97
381 10 7.277 0.290 3.491 9.11
381 30 14.839 0.495 9.916 73.43
381 50 15.248 0.402 9.241 59.67
381 100 16.393 0.247 8.283 75.02
382 1 nan -inf nan nan
382 3 nan -inf nan nan
382 5 nan -inf nan nan
382 10 9.014 0.096 3.492 106.31
382 30 32.949 0.278 24.751 62.82
382 50 36.894 0.558 41.258 687.78
382 100 38.652 0.336 23.472 66.53
383 1 0.777 0.123 0.023 3.83
383 3 2.678 0.056 0.124 7.01
383 5 5.130 0.076 0.310 10.41
383 10 7.665 0.126 3.525 227.60
383 30 33.276 0.149 50.312 251.55
383 50 33.542 0.332 79.126 2082.46
383 100 33.133 0.307 77.214 964.48
384 1 0.123 0.039 0.030 7.89
384 3 2.289 0.076 0.930 56.27
384 5 4.497 0.098 1.403 29.68
384 10 8.053 0.278 9.244 21.94
384 30 18.355 1.324 53.962 984.35
384 50 18.457 1.157 35.353 298.47
384 100 18.682 0.697 28.452 82.30
385 1 0.899 0.202 0.558 48.09
385 3 2.412 0.246 1.324 31.65
385 5 2.514 0.146 0.997 28.24
385 10 2.432 0.051 0.640 6.57
385 30 35.259 0.305 48.219 165.85
385 50 36.097 0.614 65.645 1561.79
385 100 35.708 0.439 58.414 327.04
386 1 0.695 0.086 0.022 2.95
386 3 nan -inf nan nan
386 5 nan -inf nan nan
386 10 nan -inf nan nan
386 30 44.865 0.190 38.029 116.47
386 50 44.865 0.748 88.066 1071.58
386 100 46.337 0.827 72.107 116.26
387 1 0.695 0.116 0.028 4.15
387 3 2.310 0.293 5.484 500.17
387 5 2.351 0.268 7.547 386.08
387 10 2.248 0.161 14.174 253.88
387 30 12.754 0.102 5.277 18.33
387 50 13.654 0.033 3.050 2.81
387 100 87.258 0.212 60.418 111.19
388 1 0.818 0.112 0.028 3.43
388 3 3.127 0.139 0.735 18.71
388 5 4.435 0.109 1.683 61.44
388 10 14.001 0.106 3.804 5.07
388 30 22.627 1.560 254.710 39955.86
388 50 22.709 1.421 291.091 21454.33
388 100 22.668 1.017 559.160 11584.63
389 1 0.797 0.081 0.021 2.33
389 3 nan -inf nan nan
389 5 nan -inf nan nan
389 10 nan -inf nan nan
389 30 25.304 0.488 86.276 6003.91
389 50 25.713 0.528 71.149 3877.09
389 100 25.488 0.417 56.732 453.11
390 1 0.879 0.121 0.022 3.84
390 3 2.943 0.633 4.556 1213.21
390 5 3.086 0.780 3.761 777.95
390 10 3.127 0.588 3.241 409.05
390 30 28.698 0.110 1.951 6.04
390 50 30.844 0.116 19.802 83.06
390 100 32.704 0.090 -11.336 -0.00
391 1 0.123 0.075 0.035 16.18
391 3 2.453 0.047 0.815 24.16
391 5 3.904 0.039 0.258 13.08
391 10 9.934 0.057 3.396 79.31
391 30 18.151 0.123 9.287 215.54
391 50 18.232 0.053 5.298 8.28
391 100 54.125 0.075 15.058 4.88
392 1 0.695 0.124 0.023 4.46
392 3 2.596 0.053 0.130 5.77
392 5 5.335 0.044 0.302 7.23
392 10 10.588 0.307 14.369 285.57
392 30 21.073 1.287 128.630 3475.81
392 50 21.114 1.210 134.617 1985.32
392 100 21.012 0.858 246.101 3926.14
393 1 0.736 0.122 0.023 4.18
393 3 nan -inf nan nan
393 5 5.233 0.046 1.404 24.66
393 10 9.627 0.449 20.340 1196.90
393 30 9.872 0.531 20.978 3387.91
393 50 9.852 0.376 21.285 1194.86
393 100 103.344 0.148 122.442 554.98
394 1 0.777 0.135 0.021 4.14
394 3 nan -inf nan nan
394 5 nan -inf nan nan
394 10 nan -inf nan nan
394 30 14.901 0.091 11.196 776.84
394 50 14.267 0.078 8.970 189.93
394 100 14.512 0.040 6.229 87.25
395 1 0.858 0.127 -0.334 -0.00
395 3 2.616 0.185 0.955 39.64
395 5 4.251 0.223 1.696 53.79
395 10 8.544 0.270 3.660 60.54
395 30 25.386 0.194 10.930 34.74
395 50 42.065 0.194 17.806 31.97
395 100 95.168 0.217 39.744 18.90
396 1 0.715 0.135 0.022 4.43
396 3 nan -inf nan nan
396 5 nan -inf nan nan
396 10 8.728 0.074 -1.713 -0.00
396 30 30.639 1.153 160.419 7221.89
396 50 30.762 1.335 178.898 13921.47
396 100 30.823 1.088 158.274 973.18
397 1 nan -inf nan nan
397 3 2.800 0.040 0.136 5.66
397 5 4.844 0.064 1.567 48.65
397 10 9.852 0.133 4.148 53.51
397 30 27.573 0.188 8.670 8.78
397 50 65.571 0.413 25.492 12.57
397 100 66.756 0.422 54.026 203.16
398 1 0.838 0.236 0.324 27.94
398 3 1.635 0.106 0.551 26.39
398 5 1.983 0.093 0.607 6.02
398 10 8.299 0.378 4.047 96.55
398 30 28.411 0.416 19.812 131.95
398 50 32.888 0.374 22.208 235.51
398 100 30.169 0.121 7.268 2.32
399 1 0.858 0.075 0.023 2.21
399 3 2.616 0.063 0.775 22.72
399 5 5.457 0.093 0.342 5.41
399 10 8.094 0.157 3.607 41.28
399 30 9.443 0.141 3.155 21.11
399 50 38.733 0.418 73.046 410.42
399 100 41.697 0.418 110.903 816.38
400 1 0.695 0.085 0.025 3.91
400 3 2.412 0.114 0.777 43.09
400 5 4.272 0.150 1.590 61.61
400 10 9.729 0.102 3.360 21.33
400 30 39.142 0.462 24.582 17.02
400 50 39.204 0.806 93.270 700.61
400 100 39.694 0.641 59.019 206.13
401 1 0.756 0.119 0.225 11.55
401 3 2.473 0.165 0.886 48.38
401 5 4.599 0.122 1.619 25.30
401 10 14.901 0.363 10.010 25.36
401 30 15.555 0.792 57.692 569.01
401 50 15.309 0.456 72.146 227.36
401 100 30.680 0.126 4.535 2.34
402 1 0.818 0.121 0.254 11.45
402 3 2.637 0.167 2.673 46.27
402 5 4.108 0.202 1.600 71.73
402 10 9.321 0.209 4.557 45.37
402 30 29.331 0.134 9.584 9.66
402 50 49.015 0.543 37.063 68.16
402 100 55.821 0.311 35.407 20.12
403 1 0.143 0.021 0.033 3.47
403 3 2.657 0.108 1.002 34.18
403 5 5.744 0.150 1.236 8.59
403 10 6.173 0.178 2.917 126.51
403 30 36.792 1.262 392.641 8347.74
403 50 37.180 1.525 976.213 95593.05
403 100 37.323 1.265 838.459 5343.99
404 1 0.756 0.081 0.024 3.63
404 3 nan -inf nan nan
404 5 nan -inf nan nan
404 10 9.034 0.036 3.340 120.10
404 30 26.919 0.409 26.923 579.01
404 50 29.311 0.456 25.075 199.46
404 100 28.554 0.198 10.865 8.57
405 1 0.879 0.131 0.021 3.52
405 3 nan -inf nan nan
405 5 nan -inf nan nan
405 10 nan -inf nan nan
405 30 27.819 0.041 52.746 163.39
405 50 29.086 0.049 9.979 82.82
405 100 46.705 0.026 7.979 77.34
406 1 0.736 0.109 0.026 3.48
406 3 2.535 0.079 0.154 8.51
406 5 5.907 0.127 2.901 38.80
406 10 6.336 0.251 4.575 172.13
406 30 18.723 0.204 7.870 69.94
406 50 18.866 0.057 4.921 6.72
406 100 69.986 0.115 26.038 33.10
407 1 0.756 0.074 0.029 2.51
407 3 2.514 0.156 0.957 57.39
407 5 3.884 0.142 1.720 77.86
407 10 9.075 0.143 2.927 20.25
407 30 39.653 0.817 104.184 542.29
407 50 40.634 1.204 185.573 5110.75
407 100 40.982 0.993 154.589 628.22
408 1 0.838 0.112 -0.005 -0.00
408 3 2.351 0.138 0.854 56.35
408 5 4.129 0.183 1.679 74.35
408 10 10.281 0.129 3.033 13.80
408 30 38.386 0.447 40.855 70.44
408 50 39.142 0.923 121.148 2131.99
408 100 39.878 0.572 128.273 290.10
409 1 0.818 0.123 0.022 3.88
409 3 nan -inf nan nan
409 5 nan -inf nan nan
409 10 12.591 0.056 0.773 5.06
409 30 17.496 0.442 26.034 5484.35
409 50 17.517 0.371 20.458 436.87
409 100 16.985 0.202 11.908 56.63
410 1 0.123 0.034 0.030 6.96
410 3 nan -inf nan nan
410 5 4.824 0.083 1.483 55.84
410 10 14.798 0.367 26.171 174.31
410 30 14.778 1.200 123.694 60587.67
410 50 14.758 1.019 101.627 18014.39
410 100 14.819 0.477 66.889 2071.31
411 1 0.756 0.096 0.027 3.36
411 3 3.495 0.145 1.412 24.93
411 5 3.986 0.153 1.491 4.80
411 10 10.118 1.360 73.971 4495.98
411 30 10.159 1.167 128.390 11111.27
411 50 10.118 0.808 117.599 2913.71
411 100 103.957 0.107 43.538 49.94
412 1 0.940 0.085 0.021 2.07
412 3 nan -inf nan nan
412 5 nan -inf nan nan
412 10 nan -inf nan nan
412 30 18.641 0.238 29.764 382.38
412 50 18.621 0.222 32.606 339.28
412 100 18.968 0.161 52.999 1500.85
413 1 0.123 0.040 0.031 8.96
413 3 nan -inf nan nan
413 5 nan -inf nan nan
413 10 9.239 0.075 5.126 195.44
413 30 17.047 0.566 49.635 1860.48
413 50 16.965 0.503 53.539 602.13
413 100 16.781 0.283 52.698 630.34
414 1 0.123 0.041 0.027 5.56
414 3 2.494 0.103 0.711 37.59
414 5 4.435 0.092 1.245 55.70
414 10 9.627 0.058 3.129 87.65
414 30 21.053 0.344 13.773 124.95
414 50 22.831 0.262 13.185 71.88
414 100 22.545 0.147 7.936 21.56
415 1 0.961 0.161 0.385 15.07
415 3 2.085 0.257 1.221 52.90
415 5 2.105 0.078 0.531 3.51
415 10 5.989 0.095 1.539 3.12
415 30 17.476 0.950 32.274 2504.36
415 50 17.435 0.657 28.836 301.07
415 100 16.372 0.286 28.501 36.58
416 1 0.818 0.152 0.037 3.47
416 3 2.494 0.195 0.950 48.00
416 5 4.149 0.240 1.742 71.53
416 10 9.770 0.265 3.760 41.73
416 30 29.944 0.940 62.357 511.14
416 50 30.946 1.049 69.623 514.73
416 100 30.680 0.756 42.376 54.80
417 1 0.654 0.075 0.147 5.70
417 3 2.514 0.072 0.139 8.32
417 5 nan -inf nan nan
417 10 8.503 0.173 4.484 126.36
417 30 33.664 0.233 13.466 20.93
417 50 40.941 0.332 26.209 161.01
417 100 43.803 0.186 18.756 13.72
418 1 0.675 0.117 0.000 0.00
418 3 3.679 0.060 0.126 4.17
418 5 3.740 0.193 5.870 756.43
418 10 3.863 0.141 4.782 220.42
418 30 15.207 0.100 7.246 91.82
418 50 16.658 0.043 5.074 9.46
418 100 32.826 0.035 34.031 30.16
419 1 0.715 0.126 0.023 4.30
419 3 2.064 0.047 0.125 9.36
419 5 6.704 0.050 0.249 7.55
419 10 8.994 0.120 5.134 69.34
419 30 19.581 0.886 49.886 2579.38
419 50 19.724 0.783 44.634 2110.14
419 100 19.704 0.504 39.771 261.09
420 1 0.797 0.147 0.216 15.30
420 3 2.248 0.184 1.040 65.25
420 5 4.108 0.263 2.185 56.10
420 10 7.788 0.229 3.282 38.32
420 30 31.763 1.149 132.292 2640.62
420 50 32.336 1.302 132.190 16428.30
420 100 32.438 0.917 129.558 1122.14
421 1 0.736 0.114 0.031 3.89
421 3 1.942 0.058 0.505 9.31
421 5 6.173 0.865 12.640 792.22
421 10 6.520 1.170 15.733 5740.92
421 30 6.520 0.555 10.307 260.40
421 50 6.316 0.195 0.902 4.30
421 100 62.566 0.152 28.809 34.62
422 1 0.695 0.068 0.027 2.45
422 3 2.473 0.093 0.847 36.84
422 5 5.887 0.088 1.446 9.79
422 10 14.063 0.821 99.596 344.35
422 30 14.001 1.351 100.217 8249.02
422 50 13.960 1.123 91.606 8095.48
422 100 13.920 0.453 67.301 2516.78
423 1 0.123 0.030 0.028 4.85
423 3 2.473 0.060 0.663 20.68
423 5 5.069 0.083 0.356 5.40
423 10 11.038 0.108 0.729 3.37
423 30 21.666 0.491 122.903 1330.49
423 50 21.707 0.530 130.876 2875.14
423 100 21.932 0.406 112.672 14829.55
424 1 0.123 0.038 0.029 6.52
424 3 2.494 0.072 0.140 9.06
424 5 4.640 0.087 1.381 54.37
424 10 9.934 0.172 4.658 62.55
424 30 27.676 0.334 15.144 37.73
424 50 62.628 0.589 64.960 39.92
424 100 64.815 0.834 74.686 237.90
425 1 0.715 0.135 0.022 4.64
425 3 4.824 0.135 4.053 68.36
425 5 4.762 0.695 16.877 5125.78
425 10 4.824 0.852 16.607 4311.94
425 30 4.824 0.397 12.388 942.69
425 50 35.463 0.096 23.096 301.53
425 100 37.344 0.033 9.270 4.21
426 1 0.123 0.039 0.030 7.84
426 3 2.187 0.074 0.857 53.92
426 5 4.456 0.089 0.338 13.15
426 10 6.295 0.073 2.329 57.26
426 30 15.739 0.226 35.007 880.40
426 50 15.841 0.177 31.817 892.07
426 100 15.514 0.098 21.449 308.80
427 1 0.123 0.036 0.028 6.73
427 3 2.575 0.754 4.295 950.63
427 5 2.657 0.739 3.534 886.30
427 10 2.616 0.447 2.435 82.70
427 30 18.314 0.362 21.371 304.44
427 50 18.335 0.217 12.502 40.51
427 100 18.273 0.089 4.695 10.57
428 1 0.797 0.145 0.318 20.84
428 3 2.494 0.274 1.040 53.67
428 5 4.190 0.287 1.693 50.49
428 10 8.278 0.291 3.427 64.63
428 30 22.668 0.263 11.342 70.40
428 50 44.518 0.395 24.372 27.62
428 100 59.439 0.301 27.272 21.46
429 1 0.797 0.123 0.022 3.85
429 3 2.494 0.074 0.155 8.58
429 5 4.047 0.082 1.764 81.39
429 10 8.033 0.108 2.720 29.27
429 30 12.734 0.197 14.586 306.33
429 50 12.489 0.143 15.359 371.33
429 100 11.835 0.048 1.904 18.91
430 1 0.123 0.036 0.028 5.71
430 3 2.984 0.067 0.140 4.33
430 5 4.047 0.095 1.537 49.06
430 10 10.956 0.201 13.068 156.75
430 30 21.768 0.490 35.583 153.50
430 50 21.911 0.451 41.174 310.18
430 100 21.687 0.286 40.504 234.48
431 1 0.838 0.107 0.027 3.15
431 3 2.800 0.082 0.897 25.34
431 5 4.926 0.239 2.505 94.78
431 10 13.409 0.919 26.084 180.47
431 30 13.940 1.184 34.077 674.35
431 50 13.899 0.907 30.084 482.87
431 100 13.552 0.309 2.218 6.83
432 1 0.838 0.128 0.022 3.60
432 3 nan -inf nan nan
432 5 nan -inf nan nan
432 10 12.121 0.578 59.917 3264.88
432 30 12.284 0.962 143.197 7346.84
432 50 12.264 0.715 127.051 5700.87
432 100 12.100 0.173 83.152 505.78
433 1 0.940 0.134 0.021 3.25
433 3 nan -inf nan nan
433 5 nan -inf nan nan
433 10 nan -inf nan nan
433 30 21.298 0.198 20.936 829.68
433 50 20.787 0.158 13.501 103.61
433 100 90.651 0.275 74.084 165.86
434 1 0.879 0.135 0.360 43.87
434 3 2.637 0.264 1.024 55.12
434 5 4.272 0.166 5.156 25.38
434 10 9.484 0.169 3.362 35.32
434 30 20.317 0.353 25.060 123.64
434 50 20.113 0.300 37.133 75.01
434 100 20.011 0.248 31.556 53.92
435 1 0.715 0.138 0.030 3.99
435 3 2.351 0.094 0.137 7.82
435 5 5.764 0.094 0.291 5.77
435 10 9.443 0.103 3.702 16.96
435 30 20.031 1.070 36.451 1674.93
435 50 20.174 0.819 30.200 614.37
435 100 20.011 0.455 25.621 104.02
436 1 0.613 0.122 0.024 5.15
436 3 nan -inf nan nan
436 5 6.500 0.079 0.341 6.77
436 10 7.563 0.197 6.018 546.87
436 30 7.440 0.093 1.613 6.77
436 50 28.227 0.115 12.065 48.05
436 100 64.815 0.151 30.057 50.86
437 1 0.756 0.128 0.022 4.12
437 3 2.616 0.051 0.130 6.35
437 5 5.253 0.064 0.282 8.81
437 10 7.624 0.075 2.661 168.96
437 30 31.947 0.296 32.801 242.98
437 50 32.990 0.484 36.726 270.77
437 100 31.191 0.219 7.831 5.28
438 1 0.736 0.199 0.280 33.52
438 3 2.575 0.273 1.046 46.78
438 5 4.068 0.281 1.701 60.61
438 10 8.217 0.092 2.602 9.08
438 30 19.009 1.015 32.493 1286.73
438 50 19.173 0.791 24.394 187.21
438 100 18.621 0.385 15.578 30.97
439 1 0.777 0.075 0.027 2.17
439 3 3.659 0.078 0.136 4.55
439 5 nan -inf nan nan
439 10 9.566 0.388 14.198 84.52
439 30 20.889 1.183 30.819 147.32
439 50 21.073 1.057 24.236 91.83
439 100 21.646 0.715 27.440 230.74
440 1 0.654 0.134 0.207 9.64
440 3 nan -inf nan nan
440 5 nan -inf nan nan
440 10 14.369 0.056 4.271 53.87
440 30 15.943 0.351 21.741 978.19
440 50 15.984 0.289 28.297 469.30
440 100 15.882 0.149 5.148 33.75
441 1 0.143 0.020 0.034 3.76
441 3 2.289 0.090 0.597 32.36
441 5 4.395 0.121 1.607 61.54
441 10 8.299 0.091 2.664 78.32
441 30 33.910 1.457 345.092 6625.51
441 50 34.502 1.560 240.056 20050.72
