star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
922 nan -inf nan nan 6.418 1.688 2.33e+01 0.002 6.418 1.351 1.24e+01 0.011 6.377 1.173 9.42e+00 0.015 6.357 0.758 5.24e+00 0.051 
923 nan -inf nan nan 8.666 0.410 3.27e+00 0.015 nan -inf nan nan 29.392 1.197 5.60e+01 0.001 28.738 0.712 4.11e+01 0.060 
924 nan -inf nan nan nan -inf nan nan nan -inf nan nan 35.831 0.887 3.06e+01 0.009 37.732 0.244 1.59e+01 0.210 
925 4.313 0.460 2.05e+00 0.014 nan -inf nan nan 11.201 1.552 5.14e+01 0.001 11.181 1.434 4.43e+01 0.002 11.140 1.218 3.62e+01 0.008 
926 nan -inf nan nan nan -inf nan nan nan -inf nan nan 38.774 1.936 9.00e+02 0.000 38.856 1.889 7.08e+02 0.000 
927 nan -inf nan nan nan -inf nan nan 23.444 1.454 5.44e+01 0.001 23.772 1.065 4.26e+01 0.006 23.281 0.701 3.37e+01 0.045 
928 4.108 0.411 1.47e+00 0.025 7.890 0.402 2.88e+00 0.020 22.893 0.404 8.52e+00 0.015 nan -inf nan nan nan -inf nan nan 
929 nan -inf nan nan 7.461 1.319 1.34e+01 0.002 7.317 0.641 8.96e+00 0.052 7.072 0.465 1.52e+00 0.080 6.786 0.278 9.86e-01 0.196 
930 nan -inf nan nan nan -inf nan nan 14.226 0.932 2.00e+01 0.006 13.981 0.665 1.56e+01 0.031 13.470 0.423 2.87e+00 0.087 
931 4.108 0.407 1.45e+00 0.024 7.890 0.177 2.21e+00 0.030 19.070 1.378 5.17e+01 0.001 19.091 1.089 4.93e+01 0.011 18.662 0.775 4.22e+01 0.051 
932 4.108 0.415 1.46e+00 0.026 8.523 0.375 2.78e+00 0.027 21.625 0.199 6.77e+00 0.066 nan -inf nan nan 52.122 1.250 1.23e+02 0.005 
933 3.986 0.444 1.84e+00 0.011 nan -inf nan nan 18.048 1.187 3.16e+01 0.005 18.048 0.965 2.92e+01 0.009 17.864 0.732 2.19e+01 0.029 
934 nan -inf nan nan nan -inf nan nan 13.102 0.593 1.03e+01 0.008 12.795 0.423 6.84e+00 0.029 11.835 0.389 6.78e+00 0.126 
935 nan -inf nan nan 8.483 0.479 3.77e+00 0.011 nan -inf nan nan 34.094 0.315 1.67e+01 0.099 71.110 0.874 6.07e+01 0.012 
936 4.129 0.417 1.49e+00 0.025 nan -inf nan nan 22.116 0.943 2.09e+01 0.002 23.281 0.405 1.42e+01 0.022 22.034 0.216 7.08e+00 0.082 
937 nan -inf nan nan nan -inf nan nan 20.011 1.099 2.32e+01 0.002 20.092 0.499 1.39e+01 0.031 18.948 0.294 5.99e+00 0.101 
938 4.129 0.412 1.48e+00 0.025 nan -inf nan nan 13.552 0.373 7.77e+00 0.056 12.448 0.191 5.00e+00 0.178 25.509 0.145 4.17e+00 0.221 
939 4.231 0.401 1.45e+00 0.027 8.135 0.351 2.90e+00 0.015 16.924 0.609 1.27e+01 0.007 16.291 0.278 5.56e+00 0.105 33.746 0.093 6.28e+00 0.352 
940 nan -inf nan nan 5.376 0.972 6.92e+00 0.006 5.335 0.684 4.53e+00 0.008 5.273 0.561 3.15e+00 0.023 5.233 0.393 1.06e+00 0.084 
941 nan -inf nan nan nan -inf nan nan nan -inf nan nan 45.070 1.190 6.26e+01 0.003 47.073 0.796 5.60e+01 0.010 
942 nan -inf nan nan nan -inf nan nan nan -inf nan nan 35.075 0.598 2.02e+01 0.016 69.638 0.392 3.62e+01 0.028 
943 nan -inf nan nan 6.214 1.524 2.09e+01 0.002 6.234 1.305 1.16e+01 0.005 6.173 1.038 9.72e+00 0.018 6.132 0.623 1.32e+00 0.079 
944 nan -inf nan nan nan -inf nan nan nan -inf nan nan 34.318 1.793 2.08e+02 0.000 34.462 1.569 1.42e+02 0.001 
945 nan -inf nan nan nan -inf nan nan nan -inf nan nan 33.051 1.527 8.61e+01 0.005 33.153 1.409 8.29e+01 0.005 
946 4.211 0.395 1.77e+00 0.013 nan -inf nan nan 11.119 0.944 1.74e+01 0.009 10.956 0.719 1.37e+01 0.027 10.670 0.490 2.34e+00 0.069 
947 nan -inf nan nan nan -inf nan nan 20.358 1.817 1.40e+02 0.000 20.399 1.679 1.08e+02 0.000 20.338 1.572 7.70e+01 0.002 
948 nan -inf nan nan nan -inf nan nan 26.674 0.593 1.46e+01 0.009 40.737 0.676 2.28e+01 0.013 40.655 0.115 1.17e+01 0.194 
949 nan -inf nan nan nan -inf nan nan 26.020 1.720 1.29e+02 0.000 26.429 1.500 8.95e+01 0.001 26.306 1.274 5.88e+01 0.004 
950 nan -inf nan nan 7.726 0.342 3.05e+00 0.025 14.451 0.787 1.67e+01 0.012 14.206 0.511 1.08e+01 0.049 13.613 0.350 2.51e+00 0.093 
951 nan -inf nan nan nan -inf nan nan nan -inf nan nan nan -inf nan nan 52.837 0.867 5.89e+01 0.004 
952 nan -inf nan nan nan -inf nan nan 12.754 1.184 2.49e+01 0.002 12.652 0.996 1.99e+01 0.007 12.509 0.812 1.47e+01 0.015 
953 4.190 0.386 1.40e+00 0.026 nan -inf nan nan 15.963 0.731 1.53e+01 0.008 15.575 0.404 8.74e+00 0.068 13.940 0.273 2.30e+00 0.164 
954 nan -inf nan nan nan -inf nan nan 19.581 1.375 3.28e+01 0.003 19.765 1.057 2.56e+01 0.007 19.438 0.830 1.72e+01 0.020 
955 nan -inf nan nan nan -inf nan nan 22.872 1.225 3.42e+01 0.002 23.301 0.810 2.75e+01 0.009 23.117 0.617 2.26e+01 0.019 
956 3.597 0.261 1.69e+00 0.233 6.684 1.420 1.44e+01 0.002 6.725 1.003 1.19e+01 0.004 6.704 0.913 1.11e+01 0.007 6.684 0.754 8.02e+00 0.017 
957 nan -inf nan nan nan -inf nan nan 28.473 1.103 2.83e+01 0.025 29.045 0.923 3.29e+01 0.009 29.127 0.770 3.04e+01 0.014 
958 3.740 0.086 1.02e+00 0.501 nan -inf nan nan 12.489 1.617 5.40e+01 0.000 12.468 1.503 3.94e+01 0.002 12.366 1.166 2.55e+01 0.022 
959 4.108 0.529 2.14e+00 0.040 nan -inf nan nan 10.997 1.853 1.75e+02 0.000 10.997 1.826 1.94e+02 0.000 10.997 1.764 1.88e+02 0.001 
960 nan -inf nan nan nan -inf nan nan 24.753 1.202 3.54e+01 0.002 25.488 0.756 2.65e+01 0.008 23.751 0.355 6.80e+00 0.121 
961 4.129 1.218 6.00e+00 0.003 8.176 1.288 1.37e+01 0.014 8.217 1.078 1.31e+01 0.007 8.196 0.990 1.16e+01 0.009 8.176 0.850 9.31e+00 0.010 
962 4.395 0.677 2.86e+00 0.014 nan -inf nan nan 12.203 1.661 7.15e+01 0.001 12.182 1.555 6.52e+01 0.002 12.141 1.347 4.97e+01 0.007 
963 nan -inf nan nan nan -inf nan nan 21.360 0.926 1.94e+01 0.002 21.033 0.260 8.85e+00 0.141 59.173 0.505 3.63e+01 0.019 
964 1.165 1.416 3.63e+00 0.002 1.145 1.102 2.49e+00 0.015 1.145 0.621 2.24e-01 0.049 1.145 0.537 1.96e-01 0.040 1.145 0.486 1.85e-01 0.025 
965 nan -inf nan nan nan -inf nan nan nan -inf nan nan 33.133 1.342 5.43e+01 0.004 33.337 0.997 4.29e+01 0.019 
966 nan -inf nan nan nan -inf nan nan 27.553 1.584 8.51e+01 0.000 28.187 1.414 8.12e+01 0.000 27.962 1.093 5.23e+01 0.012 
967 4.272 0.414 1.52e+00 0.025 nan -inf nan nan 21.973 1.295 3.79e+01 0.003 22.095 1.076 4.34e+01 0.007 21.789 0.797 3.36e+01 0.032 
968 nan -inf nan nan nan -inf nan nan 20.746 1.551 6.16e+01 0.000 20.828 1.263 5.27e+01 0.003 20.583 0.985 3.73e+01 0.015 
969 4.129 0.415 1.51e+00 0.023 nan -inf nan nan 24.283 1.394 5.13e+01 0.004 24.385 1.274 6.45e+01 0.004 24.119 0.978 6.63e+01 0.026 
970 nan -inf nan nan nan -inf nan nan nan -inf nan nan 38.549 1.401 8.20e+01 0.002 39.817 0.997 5.54e+01 0.005 
971 nan -inf nan nan nan -inf nan nan 14.819 1.409 3.99e+01 0.000 14.778 1.251 3.19e+01 0.003 14.553 0.908 2.22e+01 0.026 
972 nan -inf nan nan nan -inf nan nan nan -inf nan nan 40.593 1.498 1.08e+02 0.000 41.411 1.159 8.10e+01 0.003 
973 nan -inf nan nan nan -inf nan nan 9.954 0.951 1.30e+01 0.002 9.893 0.854 1.09e+01 0.006 9.791 0.688 7.57e+00 0.022 
974 4.251 0.394 1.51e+00 0.022 nan -inf nan nan 24.977 0.953 2.40e+01 0.007 nan -inf nan nan 49.423 0.965 7.52e+01 0.012 
975 nan -inf nan nan 7.972 0.542 4.11e+00 0.007 nan -inf nan nan 33.787 0.864 3.01e+01 0.002 32.867 0.210 1.06e+01 0.162 
976 nan -inf nan nan 8.483 0.637 5.22e+00 0.005 27.083 1.561 7.86e+01 0.001 27.573 1.433 7.80e+01 0.001 27.532 1.251 5.75e+01 0.003 
977 4.129 0.411 1.46e+00 0.026 8.135 0.400 2.88e+00 0.023 nan -inf nan nan nan -inf nan nan 52.735 0.326 2.58e+01 0.059 
978 4.088 0.415 1.47e+00 0.025 nan -inf nan nan nan -inf nan nan nan -inf nan nan 50.589 0.788 5.72e+01 0.013 
979 nan -inf nan nan nan -inf nan nan nan -inf nan nan 34.523 1.340 6.11e+01 0.002 34.891 0.881 4.47e+01 0.007 
980 nan -inf nan nan 7.828 1.595 2.49e+01 0.000 7.869 0.930 1.13e+01 0.012 7.726 0.704 7.18e+00 0.034 7.583 0.472 1.40e+00 0.082 
981 nan -inf nan nan nan -inf nan nan nan -inf nan nan 44.027 1.142 5.25e+01 0.008 45.540 0.872 4.96e+01 0.004 
982 4.292 0.406 1.51e+00 0.026 nan -inf nan nan nan -inf nan nan 31.436 1.136 5.24e+01 0.001 31.171 0.697 3.63e+01 0.029 
983 4.149 0.417 1.47e+00 0.027 nan -inf nan nan nan -inf nan nan 36.322 0.817 2.75e+01 0.006 36.424 0.301 1.63e+01 0.053 
984 2.494 1.844 2.67e+01 0.001 2.494 1.807 2.17e+01 0.001 2.494 1.643 1.59e+01 0.002 2.494 1.419 1.39e+01 0.006 2.494 1.126 1.07e+01 0.015 
985 nan -inf nan nan 8.115 1.047 8.67e+00 0.010 15.473 0.935 1.69e+01 0.007 15.473 0.819 1.60e+01 0.005 15.412 0.722 1.34e+01 0.006 
986 4.170 0.413 1.51e+00 0.024 nan -inf nan nan nan -inf nan nan 34.462 1.066 3.76e+01 0.002 35.013 0.544 2.49e+01 0.010 
987 4.149 0.378 1.42e+00 0.021 nan -inf nan nan 13.940 0.887 1.83e+01 0.007 13.592 0.593 1.21e+01 0.043 13.020 0.411 2.75e+00 0.064 
988 nan -inf nan nan nan -inf nan nan nan -inf nan nan 44.150 1.310 7.50e+01 0.005 45.192 1.107 7.17e+01 0.003 
989 4.068 0.403 1.48e+00 0.020 nan -inf nan nan 23.567 1.594 8.22e+01 0.001 23.833 1.385 6.75e+01 0.002 23.669 1.142 5.38e+01 0.009 
990 nan -inf nan nan nan -inf nan nan 20.624 0.083 6.84e+00 0.266 nan -inf nan nan 53.920 0.750 5.35e+01 0.005 
991 nan -inf nan nan nan -inf nan nan 14.717 1.192 2.75e+01 0.004 14.696 1.041 2.71e+01 0.020 14.512 0.847 2.83e+01 0.025 
992 nan -inf nan nan 7.420 0.444 3.12e+00 0.011 nan -inf nan nan nan -inf nan nan 50.323 0.624 3.99e+01 0.023 
993 nan -inf nan nan nan -inf nan nan 25.100 1.352 4.78e+01 0.001 25.672 0.993 3.85e+01 0.004 24.814 0.557 1.99e+01 0.061 
994 4.129 0.421 1.51e+00 0.024 nan -inf nan nan nan -inf nan nan 32.785 1.478 8.01e+01 0.000 32.704 1.014 5.33e+01 0.009 
995 nan -inf nan nan nan -inf nan nan nan -inf nan nan 30.701 0.785 3.10e+01 0.001 30.108 0.404 1.72e+01 0.040 
996 nan -inf nan nan 5.662 1.635 2.56e+01 0.000 5.662 1.438 2.05e+01 0.001 5.641 1.184 1.66e+01 0.012 5.601 0.742 7.16e+00 0.067 
997 nan -inf nan nan nan -inf nan nan nan -inf nan nan 37.303 1.505 9.59e+01 0.001 37.732 1.209 5.87e+01 0.004 
998 nan -inf nan nan nan -inf nan nan 25.815 1.341 4.98e+01 0.004 26.572 1.107 4.20e+01 0.004 26.572 0.967 4.83e+01 0.013 
999 nan -inf nan nan 8.299 0.422 3.51e+00 0.007 nan -inf nan nan 36.301 1.298 5.90e+01 0.002 36.833 0.900 4.37e+01 0.006 
